# time       Tpb[ms]      <Lnu_e>     <Lnu_ae>      <Lnu_x>    Lnu_e@000   Lnu_ae@000    Lnu_x@000    Lnu_e@045   Lnu_ae@045    Lnu_x@045    Lnu_e@090   Lnu_ae@090    Lnu_x@090    Lnu_e@135   Lnu_ae@135    Lnu_x@135    Lnu_e@180   Lnu_ae@180    Lnu_x@180      <Enu_e>     <Enu_ae>      <Enu_x>    Enu_e@000   Enu_ae@000    Enu_x@000    Enu_e@045   Enu_ae@045    Enu_x@045    Enu_e@090   Enu_ae@090    Enu_x@090    Enu_e@135   Enu_ae@135    Enu_x@135    Enu_e@180   Enu_ae@180    Enu_x@180
000290   3.34610E+00  3.27958E+02  5.59744E-01  1.56040E+01  3.27692E+02  5.48918E-01  1.57327E+01  3.27247E+02  5.55967E-01  1.56320E+01  3.26851E+02  5.65809E-01  1.55267E+01  3.27969E+02  5.59615E-01  1.56200E+01  3.28643E+02  5.53507E-01  1.57323E+01  1.38665E+01  9.56110E+00  1.66943E+01  1.39672E+01  9.56459E+00  1.67856E+01  1.38886E+01  9.56446E+00  1.67266E+01  1.38220E+01  9.55076E+00  1.66398E+01  1.39063E+01  9.56136E+00  1.67171E+01  1.39863E+01  9.56116E+00  1.67852E+01
000292   3.74630E+00  4.47391E+02  5.88607E-01  1.93884E+01  4.42320E+02  5.92153E-01  1.92948E+01  4.44241E+02  5.88283E-01  1.93602E+01  4.48033E+02  5.86510E-01  1.94196E+01  4.49308E+02  5.89284E-01  1.93404E+01  4.48587E+02  5.92187E-01  1.93194E+01  1.47689E+01  9.50155E+00  1.82155E+01  1.48433E+01  9.52989E+00  1.81973E+01  1.48126E+01  9.51507E+00  1.82154E+01  1.47604E+01  9.48856E+00  1.82328E+01  1.47496E+01  9.51798E+00  1.82704E+01  1.47654E+01  9.53141E+00  1.82764E+01
000294   4.14650E+00  4.97309E+02  6.26688E-01  2.10528E+01  5.14211E+02  6.43332E-01  2.18357E+01  5.03651E+02  6.30395E-01  2.13129E+01  4.92211E+02  6.21825E-01  2.07862E+01  4.98947E+02  6.27598E-01  2.11620E+01  5.09730E+02  6.38069E-01  2.16861E+01  1.50113E+01  9.41838E+00  1.89067E+01  1.50503E+01  9.43294E+00  1.89073E+01  1.50296E+01  9.43496E+00  1.89233E+01  1.50054E+01  9.41827E+00  1.89185E+01  1.50348E+01  9.40998E+00  1.89391E+01  1.50575E+01  9.40023E+00  1.89347E+01
000296   4.54670E+00  5.28991E+02  7.01829E-01  2.21066E+01  5.24835E+02  6.99568E-01  2.19728E+01  5.28412E+02  7.02858E-01  2.19427E+01  5.34611E+02  7.12337E-01  2.21129E+01  5.28339E+02  7.06340E-01  2.20391E+01  5.26069E+02  7.04704E-01  2.21387E+01  1.52780E+01  9.44317E+00  1.90512E+01  1.53435E+01  9.45284E+00  1.91115E+01  1.53279E+01  9.44723E+00  1.90807E+01  1.52932E+01  9.42754E+00  1.90606E+01  1.52878E+01  9.44601E+00  1.91259E+01  1.53023E+01  9.46669E+00  1.91349E+01
000298   4.94690E+00  5.29279E+02  7.80276E-01  2.17311E+01  5.51305E+02  8.15005E-01  2.27809E+01  5.37800E+02  7.91610E-01  2.18619E+01  5.23499E+02  7.72726E-01  2.11716E+01  5.36747E+02  7.94993E-01  2.19913E+01  5.53238E+02  8.23357E-01  2.28854E+01  1.53898E+01  9.54047E+00  1.87149E+01  1.54214E+01  9.53383E+00  1.87863E+01  1.53796E+01  9.54506E+00  1.87589E+01  1.53312E+01  9.53636E+00  1.86876E+01  1.53564E+01  9.55620E+00  1.87281E+01  1.54118E+01  9.55875E+00  1.87613E+01
000300   5.34710E+00  5.21403E+02  8.82533E-01  2.17472E+01  5.20981E+02  8.72205E-01  2.15663E+01  5.17120E+02  8.76218E-01  2.16479E+01  5.17683E+02  8.90567E-01  2.18697E+01  5.11713E+02  8.84589E-01  2.16466E+01  5.11949E+02  8.81693E-01  2.16233E+01  1.55834E+01  9.57054E+00  1.83691E+01  1.55733E+01  9.58301E+00  1.83823E+01  1.55498E+01  9.59093E+00  1.83545E+01  1.55436E+01  9.56835E+00  1.82907E+01  1.55373E+01  9.55969E+00  1.83656E+01  1.55669E+01  9.56216E+00  1.84385E+01
000302   5.74730E+00  4.99156E+02  9.73691E-01  2.11800E+01  5.14005E+02  1.00661E+00  2.20895E+01  4.98641E+02  9.75117E-01  2.14556E+01  4.89655E+02  9.59338E-01  2.11243E+01  4.99502E+02  9.80609E-01  2.15067E+01  5.16214E+02  1.01861E+00  2.20478E+01  1.57596E+01  9.70950E+00  1.80354E+01  1.58192E+01  9.67926E+00  1.80328E+01  1.57782E+01  9.69798E+00  1.80999E+01  1.57236E+01  9.69679E+00  1.81433E+01  1.57688E+01  9.71303E+00  1.81463E+01  1.58487E+01  9.72076E+00  1.80297E+01
000304   6.14760E+00  4.89176E+02  1.11343E+00  2.17801E+01  4.99562E+02  1.14238E+00  2.20057E+01  4.87784E+02  1.11630E+00  2.16162E+01  4.84864E+02  1.11116E+00  2.16829E+01  4.89421E+02  1.12235E+00  2.19673E+01  5.01782E+02  1.15311E+00  2.25862E+01  1.59494E+01  9.95594E+00  1.76949E+01  1.60007E+01  9.93233E+00  1.75850E+01  1.59592E+01  9.94233E+00  1.76692E+01  1.59025E+01  9.92904E+00  1.77122E+01  1.58978E+01  9.94150E+00  1.76997E+01  1.59307E+01  9.94167E+00  1.76428E+01
000306   6.54780E+00  4.56890E+02  1.24353E+00  2.14953E+01  4.40393E+02  1.22130E+00  2.08828E+01  4.49519E+02  1.22914E+00  2.13008E+01  4.62203E+02  1.25380E+00  2.18079E+01  4.52871E+02  1.24675E+00  2.13583E+01  4.44951E+02  1.24036E+00  2.10002E+01  1.61161E+01  1.03760E+01  1.74188E+01  1.61530E+01  1.03159E+01  1.72672E+01  1.60876E+01  1.03712E+01  1.73708E+01  1.60691E+01  1.03891E+01  1.73951E+01  1.61169E+01  1.03997E+01  1.73988E+01  1.61703E+01  1.03600E+01  1.73679E+01
000308   6.94800E+00  4.45634E+02  1.43814E+00  2.17672E+01  4.46112E+02  1.44338E+00  2.17991E+01  4.40884E+02  1.41928E+00  2.17256E+01  4.43876E+02  1.41750E+00  2.17562E+01  4.43403E+02  1.42679E+00  2.16359E+01  4.41209E+02  1.46077E+00  2.18364E+01  1.59390E+01  1.08494E+01  1.69806E+01  1.59449E+01  1.08179E+01  1.68845E+01  1.59463E+01  1.08446E+01  1.69599E+01  1.59045E+01  1.08001E+01  1.69445E+01  1.59073E+01  1.08466E+01  1.69532E+01  1.59341E+01  1.08519E+01  1.68872E+01
000310   7.34820E+00  4.40641E+02  1.83274E+00  2.27339E+01  4.46064E+02  1.86028E+00  2.32816E+01  4.35793E+02  1.81940E+00  2.26615E+01  4.41877E+02  1.81813E+00  2.25161E+01  4.45513E+02  1.81978E+00  2.26355E+01  4.55901E+02  1.86362E+00  2.32575E+01  1.59687E+01  1.16592E+01  1.69091E+01  1.60563E+01  1.15710E+01  1.68814E+01  1.60648E+01  1.15838E+01  1.69189E+01  1.59962E+01  1.15818E+01  1.69022E+01  1.59920E+01  1.16215E+01  1.68877E+01  1.59948E+01  1.15679E+01  1.67722E+01
000312   7.74840E+00  4.52422E+02  2.38165E+00  2.39533E+01  4.74707E+02  2.58134E+00  2.47674E+01  4.66216E+02  2.44004E+00  2.41217E+01  4.53327E+02  2.30904E+00  2.36587E+01  4.60068E+02  2.44190E+00  2.42577E+01  4.62928E+02  2.58409E+00  2.50568E+01  1.59092E+01  1.25975E+01  1.70992E+01  1.60028E+01  1.27287E+01  1.70163E+01  1.59902E+01  1.26701E+01  1.71035E+01  1.59111E+01  1.24938E+01  1.70651E+01  1.59023E+01  1.26602E+01  1.70672E+01  1.58886E+01  1.27070E+01  1.70581E+01
000314   8.14860E+00  4.11360E+02  2.60290E+00  2.24673E+01  4.13335E+02  2.60582E+00  2.22709E+01  4.12790E+02  2.63055E+00  2.23272E+01  4.15042E+02  2.65648E+00  2.27994E+01  4.09572E+02  2.62736E+00  2.28049E+01  4.04658E+02  2.60009E+00  2.27589E+01  1.52754E+01  1.24909E+01  1.64433E+01  1.53472E+01  1.24461E+01  1.65068E+01  1.53043E+01  1.25038E+01  1.64611E+01  1.52840E+01  1.25307E+01  1.64151E+01  1.53193E+01  1.25235E+01  1.65193E+01  1.53129E+01  1.24734E+01  1.65978E+01
000316   8.54880E+00  3.91129E+02  2.59339E+00  2.18823E+01  4.03007E+02  2.72404E+00  2.26860E+01  3.96206E+02  2.64645E+00  2.21866E+01  4.04112E+02  2.60030E+00  2.18678E+01  4.07918E+02  2.66771E+00  2.21111E+01  4.10491E+02  2.75584E+00  2.31244E+01  1.48598E+01  1.21793E+01  1.63563E+01  1.48422E+01  1.23243E+01  1.63871E+01  1.48591E+01  1.22484E+01  1.63791E+01  1.49096E+01  1.21246E+01  1.63852E+01  1.49357E+01  1.22569E+01  1.64191E+01  1.48947E+01  1.23188E+01  1.64563E+01
000318   8.94900E+00  3.34380E+02  2.58392E+00  1.98177E+01  3.35782E+02  2.63446E+00  1.94499E+01  3.36294E+02  2.59328E+00  1.97118E+01  3.38955E+02  2.57357E+00  2.02116E+01  3.35460E+02  2.58831E+00  1.96226E+01  3.39735E+02  2.60853E+00  1.93953E+01  1.42691E+01  1.16157E+01  1.60250E+01  1.43445E+01  1.17027E+01  1.60228E+01  1.43113E+01  1.16594E+01  1.60197E+01  1.42434E+01  1.15623E+01  1.59998E+01  1.43541E+01  1.16142E+01  1.60232E+01  1.44359E+01  1.16751E+01  1.61153E+01
000320   9.34920E+00  3.07542E+02  2.49627E+00  1.95517E+01  3.04697E+02  2.49154E+00  1.94176E+01  3.15069E+02  2.48193E+00  1.97973E+01  3.22006E+02  2.49537E+00  2.00882E+01  3.11014E+02  2.47754E+00  1.92202E+01  3.02043E+02  2.48085E+00  1.87579E+01  1.37374E+01  1.10539E+01  1.59174E+01  1.37101E+01  1.10399E+01  1.58055E+01  1.37117E+01  1.10997E+01  1.58560E+01  1.37577E+01  1.11131E+01  1.59722E+01  1.37889E+01  1.10690E+01  1.59873E+01  1.38296E+01  1.10468E+01  1.59970E+01
000322   9.74940E+00  2.70093E+02  2.54112E+00  1.79664E+01  2.60372E+02  2.55590E+00  1.74414E+01  2.73657E+02  2.54018E+00  1.79321E+01  2.86875E+02  2.53323E+00  1.86166E+01  2.74404E+02  2.48234E+00  1.79809E+01  2.62019E+02  2.49602E+00  1.72598E+01  1.29682E+01  1.05798E+01  1.54443E+01  1.28702E+01  1.05480E+01  1.53294E+01  1.29989E+01  1.06027E+01  1.54291E+01  1.31310E+01  1.06449E+01  1.55113E+01  1.30567E+01  1.05918E+01  1.53939E+01  1.29538E+01  1.05687E+01  1.52821E+01
000324   1.01496E+01  2.41843E+02  2.68422E+00  1.73628E+01  2.20216E+02  2.55577E+00  1.57906E+01  2.40104E+02  2.68839E+00  1.69872E+01  2.54979E+02  2.79180E+00  1.82471E+01  2.39638E+02  2.67462E+00  1.75945E+01  2.24372E+02  2.57451E+00  1.66400E+01  1.24845E+01  1.02919E+01  1.51525E+01  1.23794E+01  1.03109E+01  1.49237E+01  1.25127E+01  1.03698E+01  1.49647E+01  1.25362E+01  1.03709E+01  1.51114E+01  1.24148E+01  1.02589E+01  1.51115E+01  1.23693E+01  1.01879E+01  1.50272E+01
000326   1.05498E+01  2.22236E+02  3.03389E+00  1.75726E+01  1.95197E+02  2.84138E+00  1.61317E+01  2.11570E+02  2.90894E+00  1.71318E+01  2.28301E+02  3.00695E+00  1.79044E+01  2.14708E+02  2.93951E+00  1.71135E+01  1.96628E+02  2.85782E+00  1.61630E+01  1.21183E+01  1.01803E+01  1.50821E+01  1.19815E+01  1.01479E+01  1.49563E+01  1.20476E+01  1.01006E+01  1.50197E+01  1.21364E+01  1.01289E+01  1.50447E+01  1.20555E+01  1.01603E+01  1.49096E+01  1.19933E+01  1.01842E+01  1.48405E+01
000328   1.09500E+01  1.99069E+02  3.39153E+00  1.73699E+01  1.75992E+02  3.22439E+00  1.58381E+01  1.89476E+02  3.28982E+00  1.65418E+01  2.06307E+02  3.31631E+00  1.73799E+01  1.94866E+02  3.25892E+00  1.69007E+01  1.75755E+02  3.24399E+00  1.61361E+01  1.18887E+01  1.02315E+01  1.51118E+01  1.16997E+01  1.01776E+01  1.48646E+01  1.17806E+01  1.01956E+01  1.49415E+01  1.19085E+01  1.01997E+01  1.50679E+01  1.18269E+01  1.01300E+01  1.50133E+01  1.16996E+01  1.01372E+01  1.49471E+01
000330   1.13502E+01  1.81431E+02  3.97784E+00  1.79466E+01  1.55131E+02  3.75483E+00  1.66525E+01  1.69433E+02  3.84921E+00  1.72270E+01  1.87596E+02  3.94828E+00  1.79881E+01  1.81566E+02  3.85134E+00  1.76441E+01  1.67307E+02  3.71853E+00  1.67342E+01  1.17582E+01  1.03706E+01  1.52616E+01  1.15760E+01  1.03123E+01  1.51134E+01  1.16550E+01  1.02919E+01  1.50917E+01  1.17837E+01  1.02981E+01  1.51666E+01  1.17417E+01  1.03025E+01  1.51689E+01  1.16668E+01  1.03013E+01  1.50946E+01
000332   1.17504E+01  1.68416E+02  4.78621E+00  1.88531E+01  1.46816E+02  4.60714E+00  1.78959E+01  1.57598E+02  4.61333E+00  1.84165E+01  1.71043E+02  4.68398E+00  1.89048E+01  1.66506E+02  4.65575E+00  1.84821E+01  1.56369E+02  4.54064E+00  1.76719E+01  1.16288E+01  1.06583E+01  1.54871E+01  1.14295E+01  1.06265E+01  1.54475E+01  1.15249E+01  1.06289E+01  1.54221E+01  1.15793E+01  1.06126E+01  1.54088E+01  1.14803E+01  1.05796E+01  1.53393E+01  1.14198E+01  1.05641E+01  1.52610E+01
